,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,WNT,p53,cell_type,disease,sample
S_2007_003840_CCD-IC-A,4.68667519783785,0.15118683921112502,-2.234792339005303,2.8128896737536695,0.9529890753148559,-5.884719733825112,-2.1835060492223866,-8.46553187580616,1.4380191158033138,1.8279688262698708,-1.0327952820081179,-0.7168233635554059,-1.440676620789869,-7.663738563181087,CCD-IC-A,Type 1 Diabetes,S_2007_003840
S_2007_003934_CCD-IC-A,3.8842368153259152,0.6648890500551358,-2.0783098204140757,2.621309593533409,1.1177146726263747,-6.159399868940672,-2.6175583801707702,-8.357952368289016,1.4334793021607386,2.285389323494882,-0.4928766568482677,-0.6496557656871502,-1.1244826204435976,-7.385962724111139,CCD-IC-A,Type 1 Diabetes,S_2007_003934
S_2007_004028_CCD-IC-A,4.390980172015825,-0.46764221869616074,-2.239033077890349,3.1544723201059535,0.9655075473743132,-5.808897555427682,-2.522415221020178,-7.7791249922582,1.1595266510927704,2.310172879258756,-1.7051059283482013,-0.6261491638780495,-1.2819571181561515,-7.377613663136515,CCD-IC-A,Lean Control,S_2007_004028
S_2007_004216_CCD-IC-A,4.68667519783785,0.15118683921112502,-2.234792339005303,2.8128896737536695,0.9529890753148559,-5.884719733825112,-2.1835060492223866,-8.46553187580616,1.4380191158033138,1.8279688262698708,-1.0327952820081179,-0.7168233635554059,-1.440676620789869,-7.663738563181087,CCD-IC-A,Lean Control,S_2007_004216
S_2007_004263_CCD-IC-A,4.390980172015825,-0.46764221869616074,-2.239033077890349,3.1544723201059535,0.9655075473743132,-5.808897555427682,-2.522415221020178,-7.7791249922582,1.1595266510927704,2.310172879258756,-1.7051059283482013,-0.6261491638780495,-1.2819571181561515,-7.377613663136515,CCD-IC-A,Lean Control,S_2007_004263
S_2103_004019_CCD-IC-A,4.759944069061057,-1.5064058034257664,-2.1462584927994697,2.5533137943606166,0.28183871533054733,-5.271816877717947,-2.3008573404298005,-6.916419911379385,0.8263789423278427,1.8805440298324956,-1.3011114228871596,-1.1307700048054394,-0.9364807400556729,-8.22915214777778,CCD-IC-A,Type 1 Diabetes,S_2103_004019
S_2103_004028_CCD-IC-A,3.7485878194848827,0.9107892305705184,-1.9554064992208562,1.3243883623785264,1.7959201829512128,-5.776408441458898,-2.6022596465841246,-7.207582991036761,0.9680540837972257,2.181157568935379,-1.2835796915949733,-0.6429251817535943,-0.9795705908228124,-7.696822283305317,CCD-IC-A,Type 1 Diabetes,S_2103_004028
S_2103_004037_CCD-IC-A,4.71313219178732,-1.7738648603880034,-3.105333966196212,3.8637070364113852,0.5101623158079691,-5.197765689580386,-2.037769739748688,-7.310103296817843,1.1867266016627778,1.722155919123865,-1.8886680345262086,-1.4684763659505442,-1.17203059407892,-8.668828198413868,CCD-IC-A,Lean Control,S_2103_004037
S_2103_004046_CCD-IC-A,4.709205064794883,-0.4945237601163681,-1.789603838426539,2.6737887295543827,0.9323655320848233,-5.400815290934535,-2.290812848240815,-7.12411916487893,0.8511245319891622,1.932768280153293,-1.380335383361727,-0.3640802976089634,-0.713829603666895,-7.977729592833765,CCD-IC-A,Lean Control,S_2103_004046
S_2103_004064_CCD-IC-A,3.7500399847326293,-3.7400944511063634,-3.6809735244247874,4.912355578417213,1.0065739610701414,-4.397786037663684,-2.426158922387418,-5.252128738382919,2.7156521051344855,1.9603203359322436,-3.247328531030827,-1.673217688229552,-1.0400835010388922,-8.952070728336473,CCD-IC-A,Type 1 Diabetes,S_2103_004064
